link;model;waist;weight;hips;bust;height;attractive
http://www.maxmodels.pl/modelka-neeesti.html;Neeesti;57;40;82;75;145;1
http://www.maxmodels.pl/modelka-anetten.html;anetten;63;47;80;80;154;1
http://www.maxmodels.pl/modelka-nsgela.html;nsgela;85;60;90;90;150;0
http://www.maxmodels.pl/modelka-inspiireme1.html;inspiireme1;70;48;80;75;166;0
http://www.maxmodels.pl/modelka-darahati_91.html;Darahati_91;82;75;103;90;183;0
http://www.maxmodels.pl/modelka-amy92.html;Amy92;62;46;83;80;154;1
http://www.maxmodels.pl/modelka-oliwia_24.html;Oliwia_24;65;45;86;84;154;1
http://www.maxmodels.pl/modelka-paulinkaa1.html;Paulinkaa1;58;46;85;77;155;0
http://www.maxmodels.pl/modelka-m4rtysi4.html;m4rtysi4;65;44;80;87;155;0
http://www.maxmodels.pl/modelka-alezandra94.html;Alezandra94;60;43;88;90;155;1
http://www.maxmodels.pl/modelka-karolinadamowicz.html;karolinadamowicz;66;43;80;75;156;0
http://www.maxmodels.pl/modelka-kejt3.html;kejt3;66;45;86;78;156;1
http://www.maxmodels.pl/modelka-julka17042001.html;Julka17042001;68;44;82;77;157;0
http://www.maxmodels.pl/modelka-firewalkwithme.html;FireWalkWithMe;61;49;87;88;157;0
http://www.maxmodels.pl/modelka-asiafal93.html;asiafal93;63;47;80;77;158;1
http://www.maxmodels.pl/modelka-gniewatra.html;Gniewatra;73;60;100;85;158;0
http://www.maxmodels.pl/modelka-martynkka78.html;Martynkka78;72;55;87;88;158;1
http://www.maxmodels.pl/modelka-g_u_c_i_a.html;G_U_C_I_A;65;52;93;90;158;1
http://www.maxmodels.pl/modelka-adziaadudek.html;adziaadudek;56;41;80;78;159;1
http://www.maxmodels.pl/modelka-karolinka00.html;karolinka00;60;42;80;75;160;1
http://www.maxmodels.pl/modelka-karolciakaro.html;karolciakaro;76;51;86;75;160;1
http://www.maxmodels.pl/modelka-madamgrysell.html;madamgrysell;55;47;80;76;160;1
http://www.maxmodels.pl/modelka-martynagogolkiewicz.html;MartynaGogolkiewicz;67;48;92;76;160;1
http://www.maxmodels.pl/modelka-vvbazaar.html;vvbazaar;59;43;80;78;160;1
http://www.maxmodels.pl/modelka-ritalli.html;Ritalli;69;50;82;81;160;1
http://www.maxmodels.pl/modelka-evelynmool.html;Evelynmool;68;41;80;82;160;1
http://www.maxmodels.pl/modelka-regine.html;Regine;71;53;90;85;160;0
http://www.maxmodels.pl/modelka-agnessssss.html;agnessssss;65;50;89;86;160;0
